,City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
396,Mount Isa,AU,1577131745,36,-20.73,139.49,297.15,2.4
397,Petatlan,MX,1577131746,59,17.52,-101.27,306.15,4.6
398,Havelock,US,1577131528,87,34.88,-76.9,287.15,6.2
399,Garowe,SO,1577131661,66,8.41,48.48,295.11,5.91
400,Santa Cruz de Tenerife,ES,1577131746,93,28.47,-16.25,293.71,1.0
401,Pouebo,NC,1577131746,68,-20.4,164.57,296.28,1.46
402,Sestri Levante,IT,1577131746,26,44.27,9.41,287.15,3.1
403,Kalmar,SE,1577131747,100,56.66,16.36,278.15,1.06
404,Aswan,EG,1577131722,20,24.09,32.9,286.73,2.44
405,Hit,IQ,1577131747,34,33.64,42.83,285.42,3.89
406,Cloquet,US,1577131747,68,46.72,-92.46,274.26,4.6
407,Thohoyandou,ZA,1577131747,70,-22.97,30.46,295.55,0.99
408,Progreso,UY,1577131748,19,-34.68,-56.22,300.37,3.6
409,Kununurra,AU,1577131748,83,-15.77,128.74,298.15,1.5
410,Svetlogorsk,RU,1577131748,42,53.14,59.15,271.15,12.0
411,Thouars,FR,1577131748,100,46.98,-0.22,283.15,4.6
412,Armidale,AU,1577131748,70,-30.51,151.67,290.37,0.89
413,Cuencame,MX,1577131749,26,24.87,-103.7,294.84,2.14
414,Rayong,TH,1577131749,83,12.68,101.28,298.71,1.5
415,Stonewall,CA,1577131749,67,50.13,-97.33,265.15,1.81
416,Murdochville,CA,1577131749,91,48.96,-65.49,267.35,3.79
417,Mukhen,RU,1577131749,89,48.19,136.14,249.99,4.13
418,Bosaso,SO,1577131749,69,11.28,49.18,298.02,6.72
419,Kizukuri,JP,1577131749,48,40.81,140.39,272.04,3.58
420,Dunedin,NZ,1577131701,98,-45.87,170.5,283.71,1.34
421,Bonavista,CA,1577131750,86,48.65,-53.11,265.93,0.89
422,Togul,RU,1577131750,95,53.47,85.91,261.21,3.37
423,Normandin,CA,1577131750,81,48.84,-72.53,275.15,4.6
424,Vila Velha,BR,1577131750,58,-3.71,-38.6,303.15,6.2
425,Ustye,RU,1577131750,97,58.76,27.79,276.63,0.9
426,Shieli,KZ,1577131750,83,44.18,66.74,265.33,3.88
427,Zadar,HR,1577131751,93,44.12,15.24,282.59,1.5
428,Drovyanaya,RU,1577131751,67,51.58,113.05,243.15,2.0
429,Vila Franca do Campo,PT,1577131751,72,37.72,-25.43,289.15,2.1
430,Severo-Kurilsk,RU,1577131751,94,50.68,156.12,266.73,3.97
431,Sucre,BO,1577131751,55,-19.05,-65.26,290.15,7.7
432,Paldiski,EE,1577131751,75,59.35,24.08,278.15,2.1
433,Canmore,CA,1577131752,100,51.09,-115.35,273.71,4.1
434,Vanavara,RU,1577131752,97,60.35,102.28,247.59,1.44
435,Suez,EG,1577131752,46,29.97,32.54,287.13,2.59
436,Staicele,LV,1577131752,98,57.83,24.75,277.59,0.98
437,Black River,JM,1577131752,88,18.03,-77.85,303.71,1.0
438,Matadi,CD,1577131752,95,-5.83,13.46,297.23,2.25
439,Alamos,AR,1577131752,23,-36.9,-62.36,307.83,9.05
440,Farafangana,MG,1577131753,80,-22.82,47.83,299.31,6.96
441,Ancud,CL,1577131753,81,-41.87,-73.83,285.15,3.1
442,Rio Gallegos,AR,1577131476,37,-51.62,-69.22,286.15,14.9
443,Port Hedland,AU,1577131753,83,-20.31,118.58,301.15,2.6
444,Boa Vista,BR,1577131753,55,2.82,-60.67,305.15,4.1
445,Yueyang,CN,1577131753,86,29.36,113.12,279.32,3.4
446,Saldanha,PT,1577131753,88,41.42,-6.55,281.51,1.46
447,Port-de-Bouc,FR,1577131658,75,43.4,4.98,284.26,2.1
448,Xingyi,CN,1577131754,90,24.19,102.82,280.68,1.24
449,Dabhol,IN,1577131754,71,17.6,73.17,300.42,1.43
450,Praya,ID,1577131754,90,-8.71,116.27,292.71,0.88
451,Amarpur,IN,1577131754,73,23.52,91.65,286.13,2.04
452,Hinganghat,IN,1577131754,88,20.55,78.84,291.15,0.89
453,Aripuana,BR,1577131754,95,-9.17,-60.63,298.36,1.87
454,Vostok,RU,1577131755,98,46.45,135.83,245.81,2.38
455,Saraland,US,1577131755,81,30.82,-88.07,286.48,5.1
456,Kildare,IE,1577131566,86,53.16,-6.91,279.26,2.6
457,Iracoubo,GF,1577131755,82,5.48,-53.21,300.16,8.63
458,Puerto Madryn,AR,1577131755,26,-42.77,-65.04,294.83,11.37
459,Albanel,CA,1577131662,81,48.88,-72.44,275.15,4.6
460,Tutoia,BR,1577131755,66,-2.76,-42.27,303.15,8.7
461,Huarmey,PE,1577131756,57,-10.07,-78.15,297.88,3.86
462,Makakilo City,US,1577131756,88,21.35,-158.09,300.37,1.5
463,Kohlu,PK,1577131756,40,29.9,69.25,277.26,0.48
464,General Pico,AR,1577131756,21,-35.66,-63.75,308.61,5.75
465,Fort Nelson,CA,1577131756,76,58.81,-122.69,249.15,1.5
466,Vung Tau,VN,1577131756,88,10.35,107.08,296.61,2.95
467,Talara,PE,1577131757,100,-4.58,-81.27,290.15,6.7
468,Pombas,BR,1577131757,78,-15.9,-54.74,300.66,2.4
469,Kushima,JP,1577131757,75,31.5,131.29,279.82,2.24
470,Rantepao,ID,1577131757,95,-2.97,119.9,292.54,1.13
471,Atakpame,TG,1577131757,15,7.53,1.13,298.57,1.39
472,Ilhabela,BR,1577131758,83,-23.78,-45.36,297.23,1.3
473,Las Margaritas,MX,1577131758,73,16.32,-91.98,289.94,2.06
474,Yar-Sale,RU,1577131758,93,66.83,70.83,252.15,9.54
475,Suntar,RU,1577131758,95,62.16,117.65,239.23,2.28
476,Negara,ID,1577131758,77,-8.36,114.62,300.32,1.61
477,Margate,AU,1577131758,71,-43.03,147.26,285.37,3.1
478,Havre-Saint-Pierre,CA,1577131759,44,50.23,-63.6,267.15,4.1
479,Rebrikha,RU,1577131759,92,53.08,82.34,259.72,5.19
480,Ketchikan,US,1577131602,81,55.34,-131.65,279.15,4.6
481,Victoria,BN,1577131459,94,5.28,115.24,298.15,1.5
482,Luanda,AO,1577131204,74,-8.83,13.24,301.15,4.1
483,Macouria,GF,1577131759,88,5.01,-52.47,300.15,4.1
484,Almeria,ES,1577131759,66,36.84,-2.46,288.15,1.0
485,Moron,HT,1577131760,68,18.56,-74.26,300.39,0.7
486,Pochutla,MX,1577131760,48,15.74,-96.47,305.37,4.1
487,Sikonge,TZ,1577131760,88,-5.63,32.75,294.15,2.6
488,Skagen,SE,1577131760,100,58.6,13.44,276.15,3.1
489,Mitsamiouli,KM,1577131760,72,-11.38,43.28,301.95,3.26
490,Newport,GB,1577131540,87,51.59,-3.0,281.48,3.6
491,Luzhou,CN,1577131760,73,28.89,105.45,282.03,1.82
492,Lasa,CY,1577131761,72,34.92,32.53,292.15,5.1
493,Morganton,US,1577131761,93,35.75,-81.69,284.26,6.2
494,Kaeo,NZ,1577131761,79,-35.1,173.78,293.71,1.34
495,Maldonado,UY,1577131646,47,-34.91,-54.96,298.15,3.6
496,Axim,GH,1577131761,86,4.87,-2.24,299.58,1.48
497,Saquarema,BR,1577131761,88,-22.93,-42.51,301.15,9.3
498,Boffa,GN,1577131762,77,10.18,-14.04,298.51,2.2
499,Mahon,IE,1577131762,87,51.89,-8.4,279.15,5.1
500,North Bend,US,1577131762,76,43.41,-124.22,282.59,1.5
501,Adolfo Lopez Mateos,MX,1577131762,34,26.8,-109.39,299.82,1.79
502,Manali,IN,1577131762,37,32.25,77.19,272.39,3.42
503,Druzhba,UA,1577131762,85,52.05,33.94,280.51,5.93
504,Andapa,MG,1577131762,88,-14.66,49.65,291.75,1.38
505,Craig,US,1577131763,68,40.52,-107.55,277.59,0.44
506,Porto Empedocle,IT,1577131763,69,37.29,13.53,284.82,1.79
507,Brae,GB,1577131763,92,60.4,-1.35,275.15,2.59
508,Swan Hill,AU,1577131763,21,-35.34,143.56,292.82,4.69
509,Doha,QA,1577131763,55,25.29,51.53,292.15,3.6
510,Hauterive,CA,1577131764,92,49.18,-68.27,272.15,5.1
511,Dakar,SN,1577131470,21,14.69,-17.45,301.15,4.1
512,Binzhou,CN,1577131764,75,37.38,117.96,272.59,2.02
513,Nongstoin,IN,1577131764,94,25.52,91.27,278.17,2.19
514,Bundaberg,AU,1577131764,83,-24.87,152.35,296.48,1.36
515,Klobuck,PL,1577131764,93,50.9,18.94,278.71,5.1
516,Kilembe,UG,1577131764,75,0.2,30.01,292.43,1.0
517,Tanabe,JP,1577131765,93,33.73,135.39,278.71,10.01
518,Nome,US,1577131765,46,30.04,-94.42,294.82,5.1
519,Andros Town,BS,1577131765,78,24.73,-77.79,300.15,7.2
520,Kanigoro,ID,1577131765,88,-8.13,112.22,297.3,0.38
521,Senneterre,CA,1577131765,80,48.39,-77.24,272.15,4.1
522,Konice,CZ,1577131765,75,49.59,16.89,280.37,5.7
523,Bilibino,RU,1577131766,62,68.06,166.44,246.81,2.05
524,Sitka,US,1577131766,23,37.17,-99.65,291.35,5.07
525,Smithers,CA,1577131766,85,54.78,-127.17,265.15,3.6
526,Ahuimanu,US,1577131766,88,21.44,-157.84,300.37,1.5
527,Jonesboro,US,1577131700,51,35.84,-90.7,290.93,3.6
528,Aklavik,CA,1577131766,67,68.22,-135.01,243.15,3.6
